-510.4407960938508,-1136.6756742761845
-510.73372086768086,-1136.6337683381562
-514.5481619392448,-1136.7137174605268
-514.9452660627159,-1136.7676324495494
-519.0516325607059,-1136.7436786998828
-519.5686793689601,-1136.9537013697618
-524.4531044464578,-1136.8274968593646
-524.7697815943842,-1137.0532408351355
-472.7883347978529,-1154.7201409761374
-472.8041944942449,-1153.815138280389
-472.44751824327665,-1152.0291366839663
-472.35531840860455,-1151.9253308392001
-472.7565637106381,-1148.972754350177
-472.6067703064699,-1148.8041389416585
-472.47075656395464,-1146.2242289538287
-472.3562443709584,-1146.0951964110002
-472.7282022020544,-1143.5866549377492
-472.60628714842267,-1143.4491688473
-472.4920455678564,-1141.0037361755765
-472.39146924493065,-1140.8903819268946
-472.5207053898181,-1138.4332711751483
-472.3984418507662,-1138.295589744815
-472.49168173963454,-1135.7066436204825
-472.3764123642245,-1135.577190250413
-472.5205343840835,-1132.8571624109206
-472.7540497795554,-1151.9122982864665
-472.63922128516543,-1151.7819951105116
-472.78396244280884,-1148.736252003472
-472.66887652939744,-1148.60566140204
-472.7926895639317,-1145.99897499887
-472.6918212139315,-1145.884376911132
-472.57653572215264,-1145.7532358129333
-472.8011974701173,-1143.4459441638305
-472.69325615333867,-1143.3227888724095
-472.4560081053275,-1141.2565701070525
-472.35511954344923,-1141.1416106393674
-472.4704728399341,-1139.1090725808967
-472.3480051009489,-1138.9694806067341
-472.75807729206997,-1137.0656842365913
-472.64291013547074,-1136.93428824393
-472.5207740832882,-1134.9682722867653
-472.3915127002858,-1134.8204157975597
-509.53511357422724,-1116.6219362868965
-509.4135996545349,-1116.4838468035507
-509.29203234063436,-1116.34573306941
-472.69618931110324,-1130.5755291705862
-472.52825139902336,-1144.305248522345
-472.4198843439013,-1144.1820635505983
-472.32594110261607,-1144.0753050294552
-472.4343492434763,-1141.7155401379594
-472.3260932443536,-1141.5923951214
-472.48491629474745,-1139.6338618877016
-472.36950448223917,-1139.5025519252456
-472.73302937267744,-1137.687511548835
-472.6176846837122,-1137.5562188194936
-472.520988552594,-1136.029716160134
